"","ba�os","m2","jardin","ascensor","parking","piscina","terraza","habitaciones","a_reformar","tipo_vendedor","tipo_inmueble","latitude","longitude","precio","precio_final","distrito","planta","vistas","variacion_precio","dias_venta"
"16160",1,127,NA,1,0,0,0,4,0,2,1,39.455291,-0.3936492,126000,126000,"patraix",3,"exterior",0,28
"16182",3,192,0,1,1,0,1,5,1,2,1,39.4669413,-0.3615917,1600000,1600000,"el pla del real",9,"exterior",0,51
"16212",2,184,NA,1,1,NA,1,4,0,2,1,39.462231,-0.3409125,396000,396000,"camins al grau",2,"exterior",0,13
"16214",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"TRUE",0,"FALSE",1,0
"16240",2,152,NA,NA,NA,NA,NA,5,0,2,1,39.4664529,-0.3861956,220500,220500,"extramurs",NA,"",0,19
"16274",1,49,NA,1,1,1,NA,1,0,2,1,39.4864088,-0.4043193,163280,163280,"campanar",5,"exterior",0,0
"16288",1,45,NA,0,0,NA,0,1,1,2,1,39.4683271,-0.4031715,29300,29300,"l'olivereta",4,"",0,0
"16343",2,146,0,1,0,0,1,6,0,2,1,39.4599485,-0.3662829,405000,405000,"l'eixample",1,"exterior",0,49
"16354",2,108,1,1,1,1,NA,3,0,2,1,39.4925247,-0.3855147,225000,225000,"benicalap",6,"exterior",0,16
"16364",2,142,0,1,0,0,1,4,0,2,1,39.4446861,-0.3789221,391000,391000,"quatre carreres",NA,"",0,63
"16365",2,105,0,1,0,0,1,2,0,2,1,39.4446861,-0.3789221,241000,241000,"quatre carreres",NA,"",0,40
"16368",2,76,0,0,0,0,0,1,0,2,1,39.4756015,-0.3779625,149000,149000,"ciutat vella",NA,"",0,16
"16375",1,66,0,1,0,0,0,2,0,2,1,39.4711017,-0.3951089,84000,84000,"l'olivereta",1,"",0,32
"16383",1,45,NA,0,0,NA,NA,2,1,2,1,39.4683271,-0.4031715,29300,29300,"l'olivereta",4,"exterior",0,8
"16389",2,137,0,1,1,0,1,3,0,2,1,39.4687972,-0.3731801,1150000,1150000,"l'eixample",5,"exterior",0,44
"16400",1,72,0,0,NA,0,1,2,0,2,1,39.4666982,-0.3488569,90000,90000,"camins al grau",NA,"",0,0
"16408",1,102,NA,1,0,NA,NA,4,1,2,1,39.4567764,-0.4011351,109000,109000,"patraix",5,"exterior",0,48
"16432",2,140,1,1,1,1,0,4,0,2,1,39.4639773,-0.3924593,274000,274000,"patraix",1,"exterior",0,0
"16437",2,109,NA,1,1,NA,NA,3,0,2,1,39.4719393,-0.3506438,209000,209000,"algirós",1,"exterior",0,29
"16438",2,166,NA,1,NA,NA,NA,5,1,2,1,39.4750863,-0.3764124,770000,770000,"ciutat vella",6,"exterior",0,28
"16443",3,225,NA,1,1,NA,1,5,0,2,1,39.4731565,-0.3696707,750000,750000,"ciutat vella",5,"exterior",0,25
"16449",2,123,NA,1,0,NA,NA,3,0,2,1,39.4646684,-0.3771893,460000,460000,"l'eixample",1,"exterior",0,28
"16451",1,80,NA,0,0,NA,NA,2,1,2,1,39.4612723,-0.3766198,135000,135000,"l'eixample",NA,"",0,20
"16458",1,97,0,1,0,0,1,2,0,2,1,39.462351,-0.3773676,245000,245000,"l'eixample",1,"exterior",0,12
"16528",3,194,0,1,0,0,0,4,0,2,1,39.471528,-0.3691516,1200000,1200000,"l'eixample",1,"exterior",0,44
"16556",2,116,NA,1,1,0,0,3,0,2,1,39.4912364,-0.4019845,290000,290000,"benicalap",3,"exterior",0,13
"16560",1,57,NA,0,NA,NA,NA,2,0,2,1,39.4461865,-0.392471,79000,79000,"jesús",2,"exterior",0,39
"16578",2,135,NA,1,1,NA,NA,4,0,2,1,39.4735923,-0.3862275,250000,250000,"extramurs",3,"exterior",0,12
"16608",1,127,0,1,0,0,1,4,0,2,1,39.455291,-0.3936492,126000,126000,"patraix",3,"exterior",0,28
"16612",1,65,NA,0,NA,NA,NA,3,0,2,1,39.4784961,-0.3297869,89500,89500,"poblats marítims",2,"",0,40
"16620",1,64,NA,0,0,NA,NA,1,0,2,1,39.4772651,-0.3823648,187000,187000,"ciutat vella",3,"exterior",0,12
"16651",1,75,NA,0,0,NA,NA,3,0,2,1,39.4727397,-0.4098897,85000,85000,"l'olivereta",2,"exterior",0,16
"16657",2,124,0,1,1,0,0,3,0,2,1,39.45556,-0.4013476,205000,205000,"patraix",6,"exterior",0,41
"16690",1,143,NA,1,0,NA,NA,3,0,2,1,39.4670689,-0.3638018,359000,359000,"l'eixample",2,"interior",0,0
"16692",1,101,0,1,0,0,0,3,0,2,1,39.4641642,-0.3867862,155000,155000,"patraix",2,"exterior",0,12
"16709",1,107,NA,0,0,NA,NA,1,0,2,1,39.465434,-0.3319666,125000,125000,"poblats marítims",3,"exterior",0,40
"16713",2,190,NA,1,0,NA,1,5,0,2,1,39.4743798,-0.3887034,390000,390000,"extramurs",4,"exterior",0,51
"16723",1,89,NA,1,0,NA,NA,2,0,2,1,39.4638532,-0.3286634,180000,180000,"poblats marítims",2,"exterior",0,0
"16737",2,107,NA,1,0,NA,NA,3,0,2,1,39.4639124,-0.3272652,270000,270000,"poblats marítims",1,"exterior",0,60
"16762",3,403,NA,0,1,NA,NA,5,0,2,1,39.4726693,-0.3328768,540000,540000,"poblats marítims",NA,"",0,37
"16765",2,179,0,1,1,0,1,4,0,2,1,39.4733275,-0.3720461,340000,340000,"ciutat vella",1,"interior",0,28
"16829",2,152,NA,1,0,NA,1,3,0,2,1,39.4776361,-0.3592424,360000,360000,"el pla del real",1,"exterior",0,44
"16855",3,383,NA,1,1,NA,1,5,0,2,1,39.4667786,-0.3582945,1600000,1600000,"el pla del real",9,"exterior",0,28
"16866",2,220,0,1,0,0,0,4,0,2,1,39.4747113,-0.3712459,850000,850000,"ciutat vella",5,"exterior",0,44
"16889",2,111,0,1,1,0,0,3,0,2,1,39.4526868,-0.3713941,230000,230000,"quatre carreres",6,"exterior",0,63
"16891",1,55,NA,0,0,NA,NA,1,0,2,1,39.4734993,-0.3787022,199000,199000,"ciutat vella",2,"exterior",0,32
"16900",2,152,0,1,1,0,0,3,0,2,1,39.4738361,-0.3618424,360000,360000,"el pla del real",1,"exterior",0,51
"16915",1,87,0,1,0,0,0,3,0,1,1,39.4725822,-0.3319337,165000,165000,"poblats marítims",3,"exterior",0,63
"16924",2,142,NA,1,0,NA,1,4,0,2,1,39.4667846,-0.3917211,125472,125472,"patraix",1,"exterior",0,0
"16969",2,128,0,1,0,0,0,3,0,1,1,39.4699967,-0.3885938,330000,330000,"extramurs",6,"exterior",0,44
"17016",2,111,0,1,0,0,1,3,0,2,1,39.4725192,-0.3984749,184000,184000,"l'olivereta",2,"exterior",0,32
"17018",2,111,0,1,0,0,1,3,0,2,1,39.4725192,-0.3984749,180000,180000,"l'olivereta",1,"exterior",0,32
"17020",1,108,NA,1,1,NA,NA,1,0,2,1,39.4754167,-0.3799247,220000,220000,"ciutat vella",4,"exterior",0,0
"17027",8,459,NA,1,0,NA,1,8,0,2,1,39.4737148,-0.3792071,900000,900000,"ciutat vella",3,"exterior",0,44
"17049",2,156,0,1,1,0,0,3,0,2,1,39.4736851,-0.3737389,540000,540000,"ciutat vella",2,"exterior",0,44
"17071",3,220,0,1,0,0,0,3,0,2,1,39.472856,-0.3675721,910000,910000,"l'eixample",4,"exterior",0,0
"17074",2,127,0,1,0,0,0,4,0,2,1,39.4866669,-0.3585399,178000,178000,"benimaclet",1,"",0,16
"17076",3,383,NA,1,1,NA,1,5,0,2,1,39.4676789,-0.360795,1600000,1600000,"el pla del real",9,"exterior",0,28
"17161",1,80,NA,NA,NA,NA,NA,3,0,2,1,39.4558734,-0.3736194,90500,90500,"quatre carreres",NA,"",0,12
"17199",2,115,NA,1,0,NA,NA,2,0,2,1,39.4811473,-0.3812924,295000,295000,"ciutat vella",3,"exterior",0,28
"17228",3,204,0,1,0,0,0,5,0,2,1,39.4636872,-0.3724021,670000,670000,"l'eixample",3,"exterior",0,44
"17251",1,59,NA,1,1,NA,1,1,0,2,1,39.494269,-0.3837509,140000,140000,"benicalap",1,"exterior",0,13
"17252",2,104,NA,1,0,NA,NA,4,0,2,1,39.469559,-0.3949603,130000,130000,"l'olivereta",2,"exterior",0,39
"17256",3,186,NA,1,1,NA,NA,4,1,2,1,39.4705321,-0.3685517,695000,650000,"l'eixample",6,"exterior",-45000,49
"17264",3,205,NA,1,1,NA,1,4,0,2,1,39.4680894,-0.361459,875000,875000,"l'eixample",1,"exterior",0,28
"17291",2,93,1,1,1,0,1,2,0,2,1,39.4518743,-0.3363792,179000,179000,"poblats marítims",1,"exterior",0,0
"17342",2,155,1,1,1,NA,NA,5,0,2,1,39.4700028,-0.3652109,525000,525000,"l'eixample",5,"exterior",0,28
"17372",2,103,NA,1,0,0,0,4,0,2,1,39.4558478,-0.4038899,118429,118429,"patraix",6,"",0,28
"17405",2,112,NA,1,0,NA,NA,3,0,2,1,39.4659781,-0.3928901,158000,158000,"patraix",1,"exterior",0,0
"17434",2,187,NA,1,NA,1,NA,4,0,2,1,39.4751986,-0.389045,405000,405000,"extramurs",4,"exterior",0,16
"17453",5,261,NA,1,0,NA,NA,4,0,2,1,39.4698934,-0.368687,677500,677500,"l'eixample",NA,"",0,51
"17454",1,77,NA,1,0,NA,NA,1,0,2,1,39.4689209,-0.3691341,359000,359000,"l'eixample",2,"exterior",0,12
"17458",1,46,NA,1,0,NA,0,1,0,2,1,39.4677925,-0.4032219,48200,48200,"l'olivereta",5,"exterior",0,39
"17464",1,77,0,1,0,0,0,2,0,2,1,39.4779242,-0.3839076,230000,230000,"extramurs",2,"exterior",0,28
"17465",2,108,NA,1,0,NA,1,3,0,2,1,39.4821925,-0.4004547,165000,165000,"campanar",1,"exterior",0,16
"17468",2,117,NA,1,NA,NA,NA,4,0,2,1,39.4686952,-0.3388496,255000,255000,"poblats marítims",6,"exterior",0,0
"17481",1,127,NA,1,0,0,1,4,0,2,1,39.454191,-0.3930492,126000,126000,"patraix",3,"exterior",0,28
"17490",1,94,0,1,NA,0,NA,3,1,2,1,39.4738905,-0.3354703,130000,130000,"poblats marítims",4,"exterior",0,0
"17502",2,102,NA,1,0,NA,NA,3,0,2,1,39.4652781,-0.3953901,155000,155000,"patraix",1,"exterior",0,12
"17511",2,181,0,1,0,0,0,4,0,2,1,39.4609669,-0.3612804,390000,390000,"quatre carreres",5,"exterior",0,12
"17514",1,110,0,1,0,0,0,3,0,2,1,39.485779,-0.363292,250000,250000,"benimaclet",1,"exterior",0,39
"17526",1,66,NA,1,NA,NA,NA,2,0,2,1,39.4934605,-0.3949178,82900,82900,"benicalap",2,"exterior",0,0
"17530",3,166,0,1,0,0,1,4,0,2,1,39.4710282,-0.379587,620000,620000,"ciutat vella",9,"exterior",0,44
"17540",3,115,NA,1,0,0,0,3,0,2,1,39.477994,-0.3821068,290000,290000,"ciutat vella",2,"",0,25
"17547",1,90,0,1,0,0,1,1,0,2,1,39.477656,-0.382536,190000,190000,"ciutat vella",NA,"",0,44
"17551",2,130,0,1,0,0,1,3,0,2,1,39.4663019,-0.3945436,253000,253000,"patraix",5,"exterior",0,28
"17579",1,102,NA,1,0,NA,NA,4,0,2,1,39.4576764,-0.4042351,107000,107000,"patraix",5,"interior",0,28
"17584",1,94,NA,1,NA,1,NA,2,0,2,1,39.4554595,-0.3547528,270000,270000,"quatre carreres",2,"exterior",0,63
"17588",2,197,0,1,0,0,0,5,0,2,1,39.4678775,-0.3788499,450000,450000,"extramurs",5,"exterior",0,12
"17589",1,123,0,1,0,0,0,5,0,2,1,39.4678775,-0.3788499,325000,325000,"extramurs",5,"exterior",0,12
"17591",1,80,NA,NA,NA,NA,NA,3,1,2,1,39.4931691,-0.3969584,78000,78000,"benicalap",2,"",0,8
"17600",1,98,0,1,0,0,0,3,0,1,1,39.456542,-0.3624314,109000,109000,"quatre carreres",4,"exterior",0,0
"17605",1,87,NA,1,0,0,0,3,0,2,1,39.4557084,-0.3743317,144500,137000,"quatre carreres",3,"exterior",-7500,37
"17609",1,74,NA,1,1,1,NA,2,0,2,1,39.476952,-0.4036118,190000,190000,"campanar",1,"exterior",0,16
"17623",3,178,NA,1,NA,NA,NA,4,0,2,1,39.4687263,-0.3581201,310000,310000,"el pla del real",3,"exterior",0,51
"17630",2,121,NA,1,NA,NA,NA,3,0,2,1,39.4788925,-0.3953055,220000,220000,"campanar",5,"exterior",0,4
"17638",2,128,0,1,1,0,0,3,0,1,1,39.4554206,-0.3750174,310000,310000,"quatre carreres",4,"exterior",0,56
"17670",2,121,1,1,1,1,1,3,0,2,1,39.4868649,-0.3641405,300000,300000,"rascanya",4,"exterior",0,28
"17676",1,97,0,1,0,0,1,2,0,2,1,39.4723711,-0.3998227,139000,139000,"l'olivereta",5,"",0,0
"17711",1,85,0,1,NA,0,0,3,0,2,1,39.4596601,-0.3768929,183000,183000,"l'eixample",3,"exterior",0,20
"17735",2,92,0,1,0,0,1,2,0,2,1,39.476508,-0.3645096,187000,187000,"el pla del real",1,"exterior",0,28
"17775",2,177,0,1,0,0,0,3,0,2,1,39.4716493,-0.371891,750000,750000,"ciutat vella",2,"exterior",0,44
"17782",2,140,NA,1,1,NA,0,4,0,2,1,39.4919761,-0.3735272,212000,212000,"rascanya",4,"exterior",0,15
"17783",3,197,0,1,0,0,0,4,0,2,1,39.4694671,-0.3737949,690000,690000,"ciutat vella",3,"exterior",0,20
"17784",1,65,0,1,1,0,0,2,0,2,1,39.4589937,-0.3369955,175000,175000,"poblats marítims",NA,"",0,40
"17806",2,110,1,1,1,0,1,3,0,1,1,39.4644214,-0.3756941,348000,348000,"l'eixample",2,"interior",0,28
"17827",2,142,0,1,1,0,0,3,0,2,1,39.4942247,-0.3754752,309000,309000,"rascanya",10,"exterior",0,44
"17837",1,80,0,1,0,0,0,3,0,2,1,39.4579012,-0.3848715,165000,165000,"jesús",4,"exterior",0,0
"17843",1,80,NA,1,0,NA,NA,3,0,2,1,39.462352,-0.3444543,115000,110000,"camins al grau",1,"exterior",-5000,16
"17852",2,59,0,0,0,0,0,2,0,2,1,39.4715044,-0.3845291,180000,180000,"extramurs",4,"",0,21
"17873",2,120,0,1,1,0,0,3,0,2,1,39.457199,-0.3895612,220000,220000,"patraix",2,"exterior",0,0
"17875",3,178,NA,1,0,NA,1,6,0,2,1,39.4764785,-0.3813464,460000,460000,"ciutat vella",1,"exterior",0,28
"17893",2,184,NA,1,0,0,0,5,1,2,1,39.4727686,-0.3675473,600000,550000,"l'eixample",3,"exterior",-50000,51
"17898",2,119,0,1,1,0,0,4,0,2,1,39.4550565,-0.4053431,149000,149000,"patraix",3,"",0,41
"18194",1,108,NA,1,0,0,NA,3,0,2,1,39.4495553,-0.3661694,130000,130000,"quatre carreres",4,"",0,32
"18231",2,247,0,1,0,0,0,5,0,2,1,39.4638521,-0.3727551,1000000,1000000,"l'eixample",4,"exterior",0,44
"18251",3,247,1,1,1,1,1,4,0,2,1,39.4946133,-0.407899,485000,485000,"campanar",3,"exterior",0,4
"18260",2,142,0,1,0,0,1,3,0,2,1,39.4674739,-0.3705056,650000,650000,"l'eixample",7,"exterior",0,44
"18264",2,117,NA,1,0,NA,NA,4,0,2,1,39.4697842,-0.3406933,255000,255000,"algirós",6,"exterior",0,16
"18265",2,110,1,1,0,0,1,2,0,2,1,39.4786125,-0.3643702,415000,415000,"el pla del real",5,"exterior",0,28
"18292",5,261,NA,NA,0,NA,NA,4,0,2,1,39.4685934,-0.368087,697500,697500,"l'eixample",NA,"",0,51
"18301",1,96,NA,1,NA,NA,NA,2,0,2,1,39.4580568,-0.3735389,239900,239900,"l'eixample",7,"exterior",0,28
"18308",2,148,NA,1,NA,0,NA,4,0,2,1,39.4673166,-0.3814181,350000,350000,"ciutat vella",3,"exterior",0,0
"18329",2,130,0,1,1,1,1,4,0,2,1,39.4915891,-0.4079327,325000,325000,"campanar",3,"exterior",0,39
"18339",2,152,NA,1,0,NA,NA,4,0,2,1,39.4714274,-0.3895689,265000,265000,"extramurs",NA,"",0,51
"18343",2,155,0,1,0,0,0,3,0,2,1,39.4778436,-0.3898677,450000,450000,"extramurs",3,"exterior",0,51
"18346",1,44,NA,1,0,NA,NA,1,0,2,1,39.470709,-0.378698,183800,183800,"ciutat vella",NA,"",0,0
"18368",2,104,0,1,0,0,0,3,1,2,1,39.474407,-0.381622,240000,240000,"ciutat vella",3,"exterior",0,16
"18383",1,92,0,1,0,0,0,3,1,2,1,39.4846746,-0.3788382,187500,187500,"la saïdia",4,"exterior",0,28
"18388",2,104,NA,1,0,NA,NA,5,0,2,1,39.4763461,-0.343389,259000,259000,"algirós",1,"exterior",0,32
"18420",2,121,0,1,0,0,1,4,0,2,1,39.4588331,-0.3623424,239000,239000,"quatre carreres",1,"",0,12
"18437",1,90,NA,0,0,NA,NA,3,0,2,1,39.4747782,-0.3285934,128000,128000,"poblats marítims",3,"exterior",0,40
"18457",2,90,0,1,0,0,0,3,1,2,1,39.475707,-0.383622,220000,220000,"ciutat vella",3,"exterior",0,16
"18461",2,138,NA,1,1,NA,1,5,0,2,1,39.4598495,-0.3587574,191000,191000,"quatre carreres",2,"exterior",0,32
"18481",1,80,NA,NA,NA,NA,NA,4,0,2,1,39.4608791,-0.3342112,112000,100000,"poblats marítims",NA,"",-12000,40
"18498",2,100,NA,1,NA,NA,NA,3,1,2,1,39.4592422,-0.3347214,175000,175000,"poblats marítims",2,"exterior",0,40
"18503",2,118,0,1,0,0,0,3,0,1,1,39.4653847,-0.3944997,155000,155000,"l'olivereta",1,"exterior",0,0
"18504",2,127,NA,1,NA,NA,NA,3,0,2,1,39.4627261,-0.329861,245000,245000,"poblats marítims",3,"exterior",0,40
"18512",3,135,NA,0,0,NA,NA,3,0,2,1,39.4847686,-0.3600734,190000,185000,"benimaclet",3,"exterior",-5000,32
"18524",1,101,NA,NA,NA,NA,NA,3,0,2,1,39.4631494,-0.3936673,119000,119000,"patraix",NA,"",0,51
"18525",1,83,NA,NA,NA,NA,NA,4,0,2,1,39.4891189,-0.3789523,104000,104000,"la saïdia",NA,"",0,44
"18530",2,100,0,1,0,0,1,3,0,2,1,39.4729688,-0.3371152,360000,360000,"algirós",18,"exterior",0,37
"18537",2,125,0,1,0,0,1,4,1,1,1,39.4636646,-0.3800944,260000,260000,"extramurs",7,"exterior",0,0
"18539",2,106,NA,1,0,NA,NA,3,1,2,1,39.4612422,-0.3318214,175000,175000,"poblats marítims",2,"exterior",0,40
"18542",4,750,0,1,NA,0,0,6,1,2,1,39.4734498,-0.3777094,1100000,1100000,"ciutat vella",NA,"",0,25
"18549",1,85,NA,1,0,0,NA,3,0,2,1,39.4509863,-0.3937861,87500,87500,"jesús",2,"exterior",0,16
"18560",2,152,0,1,0,0,0,5,1,2,1,39.4660529,-0.3880956,220500,220500,"extramurs",2,"exterior",0,16
"18573",2,110,NA,1,NA,0,0,3,0,2,1,39.4644781,-0.3924901,155000,155000,"patraix",1,"exterior",0,0
"18588",2,110,NA,1,NA,NA,NA,3,0,2,1,39.4659999,-0.3950356,155000,155000,"patraix",1,"exterior",0,28
"18604",2,115,NA,1,0,NA,NA,4,0,2,1,39.4493002,-0.3924547,165000,165000,"jesús",2,"exterior",0,0
"18647",1,54,NA,NA,NA,NA,NA,2,0,2,1,39.4643891,-0.3407662,69000,69000,"camins al grau",NA,"",0,37
"18651",2,104,NA,1,0,NA,NA,5,0,2,1,39.4741461,-0.343989,259000,259000,"algirós",1,"exterior",0,32
"18657",1,67,NA,0,NA,0,NA,2,0,2,1,39.4676434,-0.3324357,120000,120000,"poblats marítims",4,"exterior",0,56
"18658",1,68,0,0,0,0,1,3,0,2,1,39.4871898,-0.3573383,102000,102000,"benimaclet",2,"exterior",0,16
"18704",2,125,NA,0,0,NA,NA,2,0,2,1,39.4725128,-0.3786256,240000,240000,"ciutat vella",3,"exterior",0,28
"18728",1,110,NA,1,0,NA,1,4,0,2,1,39.4603508,-0.3980444,155000,155000,"patraix",1,"exterior",0,51
"18767",2,85,NA,1,0,NA,NA,3,1,2,1,39.4561012,-0.3851715,150000,150000,"jesús",3,"exterior",0,29
"18773",1,81,NA,1,NA,NA,NA,3,0,2,1,39.4603709,-0.3673637,170000,170000,"l'eixample",3,"exterior",0,0
"18790",1,111,0,1,0,0,0,4,1,2,1,39.4580764,-0.4014351,109000,107000,"patraix",5,"interior",-2000,28
"18807",1,111,NA,1,0,NA,NA,4,0,2,1,39.4589764,-0.4036351,107000,107000,"patraix",5,"interior",0,15
"18808",2,152,0,1,0,0,0,4,0,2,1,39.4711274,-0.3889689,252000,252000,"extramurs",3,"",0,49
"18812",2,148,0,1,0,0,0,4,0,2,1,39.4752531,-0.3531046,248000,248000,"algirós",4,"exterior",0,16
"18839",1,70,0,0,0,0,0,2,0,1,1,39.4700137,-0.3297676,180000,180000,"poblats marítims",1,"exterior",0,24
"18853",2,138,0,1,1,1,1,3,0,2,1,39.4576977,-0.3522902,680000,680000,"camins al grau",9,"exterior",0,13
"18871",2,186,NA,1,0,NA,NA,4,1,2,1,39.4680896,-0.3674938,560000,560000,"l'eixample",2,"exterior",0,44
"18889",4,180,NA,1,0,NA,NA,4,0,2,1,39.4705078,-0.376709,595000,595000,"ciutat vella",7,"exterior",0,0
"18893",1,116,0,1,0,0,0,4,0,2,1,39.454867,-0.4039301,107000,107000,"patraix",5,"",0,28
"18917",2,198,0,0,0,0,1,4,0,2,1,39.4708342,-0.3724427,637500,637500,"ciutat vella",6,"exterior",0,28
"18921",1,66,NA,0,0,0,0,2,0,2,1,39.4909605,-0.3963178,78700,78700,"benicalap",2,"",0,16
"18928",1,69,NA,0,0,0,0,3,0,2,1,39.5016037,-0.3936058,36300,36300,"benicalap",5,"",0,8
"18930",1,46,NA,0,0,0,0,3,0,2,1,39.4939229,-0.3703413,38500,38500,"rascanya",5,"",0,10
"18933",2,93,NA,0,0,0,0,3,0,2,1,39.4735229,-0.3816841,209000,209000,"ciutat vella",1,"",0,28
"19014",1,80,NA,0,NA,0,NA,3,0,2,1,39.4906289,-0.3858296,100000,100000,"benicalap",5,"exterior",0,32
"19022",2,181,NA,1,0,0,0,5,0,2,1,39.4662088,-0.375355,665000,665000,"ciutat vella",2,"",0,28
"19026",1,75,NA,1,0,0,1,2,0,2,1,39.4928246,-0.3764481,130000,130000,"rascanya",1,"exterior",0,0
"19041",2,96,1,1,0,0,0,2,0,2,1,39.4706776,-0.3348662,181480,181480,"poblats marítims",NA,"",0,12
"19042",2,97,0,1,0,0,1,2,0,2,1,39.4706776,-0.3348662,183744,183744,"poblats marítims",1,"exterior",0,12
"19043",2,100,0,1,0,0,1,2,0,2,1,39.4706776,-0.3348662,189429,189429,"poblats marítims",3,"exterior",0,12
"19044",2,100,1,1,0,0,0,2,0,2,1,39.4706776,-0.3348662,189798,189798,"poblats marítims",NA,"",0,12
"19045",2,100,0,1,0,0,1,2,0,2,1,39.4706776,-0.3348662,189429,189429,"poblats marítims",1,"exterior",0,12
"19046",2,124,0,1,0,0,1,3,0,2,1,39.4706776,-0.3348662,234664,234664,"poblats marítims",1,"exterior",0,12
"19047",2,115,0,1,0,0,1,3,0,2,1,39.4706776,-0.3348662,216525,216525,"poblats marítims",2,"exterior",0,12
"19048",2,115,0,1,0,0,1,3,0,2,1,39.4706776,-0.3348662,216525,216525,"poblats marítims",3,"exterior",0,12
"19049",1,97,0,1,0,0,1,2,0,2,1,39.4706776,-0.3348662,183744,183744,"poblats marítims",4,"exterior",0,12
"19050",2,124,0,1,0,0,1,3,0,2,1,39.4706776,-0.3348662,234664,234664,"poblats marítims",4,"exterior",0,12
"19055",1,80,0,0,0,0,1,4,0,2,1,39.4578791,-0.3333112,112000,100000,"poblats marítims",NA,"",-12000,40
"19056",1,83,0,0,0,0,1,4,0,2,1,39.4905189,-0.3762523,104000,104000,"la saïdia",NA,"",0,48
"19059",1,71,NA,1,0,0,1,3,0,2,1,39.4902708,-0.3855656,90000,90000,"la saïdia",2,"exterior",0,25
"19078",2,148,NA,1,0,0,1,4,0,2,1,39.4730531,-0.3535046,248000,248000,"algirós",4,"exterior",0,32
"19080",1,72,0,0,0,0,0,3,0,2,1,39.4432516,-0.3923154,75000,75000,"jesús",3,"exterior",0,13
"19083",1,80,0,0,NA,0,1,3,0,2,1,39.4894993,-0.3769491,150000,150000,"la saïdia",NA,"",0,28
"19100",1,90,0,0,0,0,0,3,0,2,1,39.457327,-0.360837,125000,125000,"quatre carreres",3,"exterior",0,40
"19117",2,152,0,1,0,0,0,5,0,1,1,39.4721791,-0.3791943,334000,334000,"ciutat vella",6,"exterior",0,28
"19161",1,100,NA,0,0,NA,NA,4,0,2,1,39.4451788,-0.3910029,84900,84900,"jesús",5,"exterior",0,0
"19163",1,66,NA,1,0,0,0,3,0,2,1,39.4640215,-0.3901723,105000,105000,"patraix",2,"exterior",0,12
"19206",4,400,NA,1,1,NA,1,6,0,2,1,39.4797757,-0.3674334,1000000,1000000,"el pla del real",7,"exterior",0,8
"19215",2,120,NA,1,0,0,0,5,0,2,1,39.4744726,-0.3515356,265000,265000,"algirós",3,"exterior",0,32
"19220",2,140,0,1,1,0,0,3,0,2,1,39.4805458,-0.3946426,269000,269000,"campanar",4,"exterior",0,13
"19233",2,92,NA,0,0,0,0,2,0,2,1,39.4604648,-0.3608338,169000,169000,"quatre carreres",2,"exterior",0,0
"19237",2,82,NA,1,0,0,0,2,0,2,1,39.458612,-0.3980042,149800,149800,"patraix",7,"exterior",0,25
"19243",2,119,NA,1,0,NA,NA,3,0,2,1,39.4719619,-0.3343378,249750,249750,"poblats marítims",3,"exterior",0,40
"19255",1,49,0,0,0,0,0,1,0,2,1,39.4670341,-0.4032205,45000,45000,"l'olivereta",4,"exterior",0,16
"19264",2,152,NA,1,0,NA,NA,5,1,2,1,39.4732791,-0.3782943,339000,339000,"ciutat vella",6,"exterior",0,28
"19265",1,82,NA,1,0,0,1,3,0,2,1,39.4563142,-0.3863083,96000,96000,"jesús",2,"exterior",0,0
"19272",4,280,NA,1,0,0,1,8,0,2,1,39.4721032,-0.3809932,570000,570000,"ciutat vella",2,"exterior",0,0
"19273",2,120,0,1,0,0,0,5,0,1,1,39.4921907,-0.3825881,180000,180000,"rascanya",2,"exterior",0,51
"19280",2,118,0,1,1,0,1,3,0,2,1,39.45238,-0.3357,181466,181466,"quatre carreres",NA,"",0,0
"19297",2,192,NA,1,0,0,1,3,0,2,1,39.4678225,-0.3790381,675000,675000,"extramurs",4,"exterior",0,44
"19298",1,70,0,1,0,0,1,2,0,1,1,39.4575978,-0.3734929,215000,215000,"quatre carreres",9,"exterior",0,0
"19355",2,179,NA,1,0,0,0,3,0,2,1,39.4679318,-0.3796691,550000,550000,"extramurs",5,"exterior",0,44
"19404",2,140,NA,1,0,0,1,2,0,2,1,39.4736136,-0.3607571,370000,370000,"el pla del real",9,"exterior",0,0
"19442",2,90,NA,1,0,NA,1,2,0,2,1,39.4631766,-0.4001407,210000,210000,"patraix",2,"exterior",0,28
"19466",1,89,NA,0,0,0,0,3,0,2,1,39.4524122,-0.3664336,85680,85680,"quatre carreres",NA,"",0,51
"19502",1,71,NA,1,0,0,0,3,0,2,1,39.4897708,-0.3843656,90000,90000,"la saïdia",2,"",0,28
"19533",2,100,0,1,0,0,0,2,0,1,1,39.4632025,-0.3996462,210000,210000,"patraix",2,"exterior",0,28
"19546",2,110,0,1,1,0,0,3,0,2,1,39.4904202,-0.3761722,195000,195000,"la saïdia",2,"exterior",0,12
"19559",2,125,NA,1,NA,NA,NA,3,0,2,1,39.4638078,-0.3682478,365000,365000,"l'eixample",5,"exterior",0,44
"19563",1,129,NA,1,NA,NA,NA,3,0,2,1,39.4690655,-0.3860025,178000,178000,"extramurs",1,"exterior",0,28
