propertycode;ad_characteristics_bathNumber;ad_characteristics_constructedArea;ad_characteristics_hasGarden;ad_characteristics_hasLift;ad_characteristics_hasParking;ad_characteristics_hasSwimmingPool;ad_characteristics_hasTerrace;ad_characteristics_roomNumber;ad_operation;ad_owner_type;price_first;ad_typology;date_insert;latitude;longitude;price_last;price;date_last;distrito;day_insert;day_last;tiempo_venta;vendido
38364999;0.0;180.0;;;;;;;2;2;825;6;2022-03-01 13:56:16.817509;394.609.031;-0.3627733;825;825;2022-03-04 22:00:42.115309;quatre carreres;01/03/2022;04/03/2022;3;1
38392023;1.0;60.0;;;;;;;2;2;750;6;2022-03-01 15:29:36.704939;394.743.589;-0.3778055;750;750;2022-03-04 22:07:06.016399;ciutat vella;01/03/2022;04/03/2022;3;1
38423686;2.0;273.0;;;;;;;1;2;149000;6;2022-02-24 21:29:12.370056;3.945.274.860.000.000;-0.4026142;149000;149000;2022-03-11 18:34:36.526358;patraix;24/02/2022;11/03/2022;15;0
38426302;1.0;179.0;;;;;;;2;2;1200;6;2022-03-01 14:23:12.007234;394.574.585;-0.3713217;1200;1200;2022-03-04 22:03:51.100869;l'eixample;01/03/2022;04/03/2022;3;1
38439986;0.0;103.0;;;;;;;1;2;48000;6;2022-02-24 22:19:39.311695;3.945.362.720.000.000;-0.3916446;48000;48000;2022-03-11 18:37:20.390789;jesús;24/02/2022;11/03/2022;15;0
38440168;1.0;100.0;;;;;;;1;2;150000;6;2022-02-24 21:23:12.416512;394.821.924;-0.3312004000000001;150000;150000;2022-03-11 18:33:56.561044;poblats marítims;24/02/2022;11/03/2022;15;0
38440174;0.0;150.0;;;;;;;1;2;180000;6;2022-02-24 23:11:43.868179;3.946.838;-0.34531;180000;180000;2022-03-11 18:38:45.883483;algirós;24/02/2022;11/03/2022;15;0
38440193;0.0;95.0;;;;;;;1;2;123456;6;2022-02-24 21:23:16.621318;394.846.658;-0.3277402;123456;123456;2022-03-11 18:33:56.532913;poblats marítims;24/02/2022;11/03/2022;15;0
38440245;1.0;532.0;;;;;;;1;2;300000;6;2022-02-24 22:27:26.523974;394.481.518;-0.3938731;300000;300000;2022-03-11 18:36:45.437447;jesús;24/02/2022;11/03/2022;15;0
38440532;0.0;80.0;;;;;;;2;2;800;6;2022-03-01 13:46:10.730217;394.670.062;-0.3292542;800;800;2022-03-04 22:01:42.050826;poblats marítims;01/03/2022;04/03/2022;3;1
38457908;3.0;314.0;;;;;;;1;2;220000;6;2022-02-24 22:20:37.410324;394.608.362;-0.3841684;220000;220000;2022-03-11 18:37:15.232489;extramurs;24/02/2022;11/03/2022;15;0
38497038;2.0;56.0;;;;;;;1;1;56000;6;2022-02-24 22:58:34.136988;3.949.328.660.000.000;-0.3906364;56000;56000;2022-03-11 18:38:18.635726;benicalap;24/02/2022;11/03/2022;15;0
38513222;1.0;223.0;;;;;;;1;2;349000;6;2022-02-24 22:39:41.022010;394.742.261;-0.3553426;349000;349000;2022-03-11 18:37:21.487583;el pla del real;24/02/2022;11/03/2022;15;0
38564696;3.0;1250.0;;;;;;;1;2;975000;6;2022-02-24 21:42:11.609398;3.948.846.629.999.990;-0.3693458;975000;975000;2022-03-11 18:35:16.935641;la saïdia;24/02/2022;11/03/2022;15;0
38598972;2.0;178.0;;;;;;;1;2;92800;6;2022-02-24 22:57:02.160341;394.990.738;-0.3940395;87200;87200;2022-03-11 18:38:39.167654;benicalap;24/02/2022;11/03/2022;15;0
38655377;2.0;90.0;;;;;;;1;2;45000;6;2022-02-24 21:34:49.128182;394.920.433;-0.3762036;45000;45000;2022-03-11 18:35:53.434850;la saïdia;24/02/2022;11/03/2022;15;0
38734014;1.0;415.0;;;;;;;2;2;4800;6;2022-03-01 14:33:52.295512;39.469.697;-0.367885;4800;4800;2022-03-04 22:03:13.091519;l'eixample;01/03/2022;04/03/2022;3;1
38764087;1.0;77.0;;;;;;;1;2;125000;6;2022-02-24 22:29:28.735016;394.757.214;-0.3800002;125000;125000;2022-03-11 18:38:10.384876;ciutat vella;24/02/2022;11/03/2022;15;0
38767268;3.0;45.0;;;;;;;1;2;33000;6;2022-02-24 21:15:59.805767;3.944.506.970.000.000;-0.3360588;33000;33000;2022-03-11 18:34:23.906084;poblats marítims;24/02/2022;11/03/2022;15;0
38778438;0.0;130.0;;;;;;;1;2;178000;6;2022-02-24 21:54:13.632656;394.627.605;-0.3729198;178000;178000;2022-03-11 18:36:30.425893;l'eixample;24/02/2022;11/03/2022;15;0
