id;ad_characteristics_bathNumber;ad_characteristics_constructedArea;ad_characteristics_hasGarden;ad_characteristics_hasLift;ad_characteristics_hasParking;ad_characteristics_hasSwimmingPool;ad_characteristics_hasTerrace;ad_characteristics_roomNumber;ad_condition_isGoodCondition;ad_condition_isNeedsRenovating;ad_operation;ad_owner_type;ad_typology;address_location_x;date_insert;date_update;latitude;longitude;price;url;price_last;date_last;address_location_y;distrito;ascensor;ascensor_bool;planta;vistas;variacion_precio;day_insert;day_last;tiempo_venta;vendido
361;2.0;115.0;0.0;1.0;0.0;0.0;1.0;3.0;1.0;0.0;1;1;1;"[""Calle Doctor Manuel Candela, 3"", ""Barrio Albors"", ""Distrito Camins al Grau"", ""València"", ""Valencia, València""]";2022-02-09 03:50:58.494789;2022-02-09 03:50:58.494861;394.659.224;-0.3512466;220000;https://www.idealista.com/inmueble/1757067/;220000;2022-02-09 03:40:49.473219;"[""Calle Doctor Manuel Candela, 3"", ""Barrio Albors"", ""Distrito Camins al Grau"", ""València"", ""Valencia, València""]";camins al grau;con ascensor;1.0;5.0;exterior;0;09/02/2022;09/02/2022;0;1
362;1.0;94.0;0.0;1.0;0.0;0.0;0.0;3.0;1.0;0.0;1;1;1;"[""Calle Musico Cabanilles, 48"", ""Urb. san marcelino"", ""Barrio Sant Marcellí"", ""Distrito Jesús"", ""València"", ""Valencia, València""]";2022-01-11 19:35:22.009019;2022-01-11 19:35:22.009019;394.453.099;-0.3927437;130000;https://www.idealista.com/inmueble/1758299/;130000;2022-02-23 11:42:19.498179;"[""Calle Musico Cabanilles, 48"", ""Urb. san marcelino"", ""Barrio Sant Marcellí"", ""Distrito Jesús"", ""València"", ""Valencia, València""]";jesús;con ascensor;1.0;4.0;exterior;0;11/01/2022;23/02/2022;43;0
399;3.0;170.0;1.0;1.0;0.0;0.0;1.0;5.0;0.0;1.0;1;1;1;"[""Plaza Legión Española, 12"", ""Barrio Exposició"", ""Distrito El Pla del Real"", ""València"", ""Valencia, València""]";2021-12-30 19:47:36.523853;2021-12-30 19:47:36.523853;394.781.327;-0.3665403;590000;https://www.idealista.com/inmueble/1812172/;590000;2022-02-23 11:39:57.811842;"[""Plaza Legión Española, 12"", ""Barrio Exposició"", ""Distrito El Pla del Real"", ""València"", ""Valencia, València""]";el pla del real;con ascensor;1.0;3.0;exterior;0;30/12/2021;23/02/2022;55;0
400;1.0;80.0;0.0;1.0;0.0;0.0;0.0;3.0;1.0;0.0;1;1;1;"[""Calle Ángel Guimera, 74"", ""Barrio La Petxina"", ""Distrito Extramurs"", ""València"", ""Valencia, València""]";2021-12-30 20:21:58.193810;2021-12-30 20:21:58.193810;394.691.514;-0.3911105;238000;https://www.idealista.com/inmueble/1813938/;238000;2022-02-23 11:41:36.080022;"[""Calle Ángel Guimera, 74"", ""Barrio La Petxina"", ""Distrito Extramurs"", ""València"", ""Valencia, València""]";extramurs;con ascensor;1.0;3.0;interior;0;30/12/2021;23/02/2022;55;0
421;1.0;80.0;0.0;1.0;0.0;0.0;1.0;2.0;1.0;0.0;1;1;1;"[""Calle Amparo Ballester, 8"", ""Barrio Beteró"", ""Distrito Poblats Marítims"", ""València"", ""Valencia, València""]";2022-01-11 18:22:20.428823;2022-01-11 18:22:20.428862;394.729.907;-0.33499670000000004;134000;https://www.idealista.com/inmueble/1858636/;134000;2022-01-27 05:52:05.436067;"[""Calle Amparo Ballester, 8"", ""Barrio Beteró"", ""Distrito Poblats Marítims"", ""València"", ""Valencia, València""]";poblats marítims;con ascensor;1.0;3.0;exterior;0;11/01/2022;27/01/2022;16;1
440;2.0;80.0;0.0;1.0;0.0;1.0;0.0;2.0;1.0;0.0;1;1;1;"[""Calle Antonio Sacramento, 11"", ""Barrio Ciutat de les Arts i de les Ciencies"", ""Distrito Quatre Carreres"", ""València"", ""Valencia, València""]";2021-12-18 21:40:18.244388;2021-12-18 21:40:18.244388;394.542.713;-0.3580535;250000;https://www.idealista.com/inmueble/1895260/;250000;2022-02-23 11:20:38.599542;"[""Calle Antonio Sacramento, 11"", ""Barrio Ciutat de les Arts i de les Ciencies"", ""Distrito Quatre Carreres"", ""València"", ""Valencia, València""]";quatre carreres;con ascensor;1.0;2.0;exterior;0;18/12/2021;23/02/2022;67;0
468;2.0;180.0;0.0;1.0;0.0;0.0;0.0;4.0;1.0;0.0;1;1;1;"[""Calle San Vicente Martir, 276"", ""Barrio L'Hort de Senabre"", ""Distrito Jesús"", ""València"", ""Valencia, València""]";2022-01-11 19:10:27.028850;2022-01-11 19:10:27.028911;394.529.015;-0.3846202;189000;https://www.idealista.com/inmueble/1953961/;189000;2022-02-23 11:42:50.906186;"[""Calle San Vicente Martir, 276"", ""Barrio L'Hort de Senabre"", ""Distrito Jesús"", ""València"", ""Valencia, València""]";jesús;con ascensor;1.0;3.0;exterior;0;11/01/2022;23/02/2022;43;0
503;2.0;90.0;0.0;1.0;0.0;0.0;1.0;2.0;1.0;0.0;1;1;1;"[""Calle Marqués de Montortal, 2"", ""Barrio Torrefiel"", ""Distrito Rascanya"", ""València"", ""Valencia, València""]";2021-12-30 17:39:57.216771;2021-12-30 17:39:57.216771;394.922.591;-0.374798;145000;https://www.idealista.com/inmueble/2036912/;145000;2022-02-23 11:10:52.127880;"[""Calle Marqués de Montortal, 2"", ""Barrio Torrefiel"", ""Distrito Rascanya"", ""València"", ""Valencia, València""]";rascanya;con ascensor;1.0;1.0;interior;0;30/12/2021;23/02/2022;55;0
547;1.0;105.0;0.0;1.0;0.0;0.0;0.0;3.0;1.0;0.0;1;1;1;"[""Calle Paco Pierra, 23"", ""Barrio Na Rovella"", ""Distrito Quatre Carreres"", ""València"", ""Valencia, València""]";2022-02-09 02:46:07.307396;2022-02-09 02:46:07.307437;394.500.882;-0.3673678;123000;https://www.idealista.com/inmueble/2129029/;123000;2022-02-23 11:19:42.087475;"[""Calle Paco Pierra, 23"", ""Barrio Na Rovella"", ""Distrito Quatre Carreres"", ""València"", ""Valencia, València""]";quatre carreres;con ascensor;1.0;12.0;exterior;0;09/02/2022;23/02/2022;14;0
588;1.0;98.0;0.0;1.0;;0.0;0.0;3.0;1.0;0.0;1;1;1;"[""Plaza de Ramón Contreras Mongrell, 10"", ""Barrio Els Orriols"", ""Distrito Rascanya"", ""València"", ""Valencia, València""]";2021-12-30 17:39:35.021036;2021-12-30 17:39:35.021036;394.915.436;-0.3713263;135000;https://www.idealista.com/inmueble/25146301/;135000;2022-02-23 11:12:39.442411;"[""Plaza de Ramón Contreras Mongrell, 10"", ""Barrio Els Orriols"", ""Distrito Rascanya"", ""València"", ""Valencia, València""]";rascanya;con ascensor;1.0;3.0;exterior;0;30/12/2021;23/02/2022;55;0
