id;ad_characteristics_bathNumber;ad_characteristics_constructedArea;ad_characteristics_hasGarden;ad_characteristics_hasLift;ad_characteristics_hasParking;ad_characteristics_hasSwimmingPool;ad_characteristics_hasTerrace;ad_characteristics_roomNumber;ad_condition_isGoodCondition;ad_condition_isNeedsRenovating;ad_operation;ad_owner_type;ad_typology;address_location;date_insert;date_update;latitude;longitude;price;url;price_last;date_last;distrito;barrio;features;armarios empotrados;acceso adaptado;aire acondicionado;balcon;trastero;garaje incluido;calefaccion;planta;vistas;variacion_precio;day_insert;day_last;tiempo_venta;vendido
1406;2.0;110.0;0.0;1.0;1.0;0.0;0.0;2.0;1.0;0.0;1;2;1;"[""Barrio La Xerea"", ""Distrito Ciutat Vella"", ""València"", ""Valencia, València""]";2021-12-30 15:35:35.310760;2021-12-30 15:35:35.310760;39.472381899999995;-0.37414759999999997;450000;https://www.idealista.com/inmueble/31148644/;450000;2022-02-12 13:01:39.158669;ciutat vella;la xerea;"[""110 m² construidos"", ""2 habitaciones"", ""2 baños"", ""Plaza de garaje incluida en el precio"", ""Segunda mano/buen estado"", ""No dispone de calefacción"", ""Planta 3ª exterior"", ""con ascensor"", ""Aire acondicionado""]";0.0;0.0;1.0;0.0;0.0;1.0;1.0;3.0;exterior;0;2021-12-30;2022-02-12;44 days;1
1416;1.0;67.0;0.0;0.0;0.0;0.0;0.0;3.0;1.0;0.0;1;2;1;"[""Barrio Tres Forques"", ""Distrito L'Olivereta"", ""València"", ""Valencia, València""]";2022-01-11 18:50:25.888484;2022-01-11 18:50:25.888484;39.469116299999996;-0.4061961;74000;https://www.idealista.com/inmueble/31180680/;74000;2022-01-27 06:00:38.569163;l'olivereta;tres forques;"[""67 m² construidos, 64 m² útiles"", ""3 habitaciones"", ""1 baño"", ""Segunda mano/buen estado""]";0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;0;2022-01-11;2022-01-27;16 days;1
1432;2.0;331.0;0.0;1.0;0.0;0.0;0.0;8.0;1.0;0.0;1;2;1;"[""Paseo de russafa s/n"", ""Barrio Sant Francesc"", ""Distrito Ciutat Vella"", ""València"", ""Valencia, València""]";2021-12-30 14:54:55.663274;2021-12-30 14:54:55.663274;39.4680705;-0.3752165;750000;https://www.idealista.com/inmueble/31269132/;750000;2022-01-27 06:12:43.625353;ciutat vella;sant francesc;"[""331 m² construidos, 290 m² útiles"", ""8 habitaciones"", ""2 baños"", ""Balcón"", ""Segunda mano/buen estado"", ""Armarios empotrados"", ""Trastero"", ""Orientación sur, oeste"", ""Construido en 1900"", ""Calefacción central"", ""Planta 2ª exterior"", ""con ascensor"", ""Aire acondicionado""]";1.0;0.0;1.0;1.0;1.0;0.0;1.0;2.0;exterior;0;2021-12-30;2022-01-27;28 days;1
1500;1.0;53.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1;1;1;"[""Calle de la costera, 2"", ""Barrio Benicalap"", ""Distrito Benicalap"", ""València"", ""Valencia, València""]";2022-01-11 22:23:30.346186;2022-01-11 22:23:30.346186;39.494098799999996;-0.4007666;165000;https://www.idealista.com/inmueble/31685607/;165000;2022-01-27 06:21:28.953421;benicalap;benicalap;"[""53 m² construidos, 45 m² útiles"", ""1 habitación"", ""1 baño"", ""Terraza"", ""Plaza de garaje por 20.000 € adicionales"", ""Segunda mano/buen estado"", ""Armarios empotrados"", ""Trastero"", ""Orientación norte"", ""Planta 5ª exterior"", ""con ascensor"", ""Aire acondicionado"", ""Piscina"", ""Zonas verdes""]";1.0;0.0;1.0;0.0;1.0;1.0;0.0;5.0;exterior;0;2022-01-11;2022-01-27;16 days;1
1539;4.0;418.0;0.0;1.0;1.0;1.0;1.0;4.0;1.0;0.0;1;2;1;"[""Barrio Mestalla"", ""Distrito El Pla del Real"", ""València"", ""Valencia, València""]";2021-12-30 19:47:32.690224;2021-12-30 19:47:32.690224;39.471719799999995;-0.3619715;3300000;https://www.idealista.com/inmueble/31908002/;3300000;2022-02-09 03:38:11.097394;el pla del real;mestalla;"[""418 m² construidos, 390 m² útiles"", ""4 habitaciones"", ""4 baños"", ""Terraza"", ""Plaza de garaje incluida en el precio"", ""Segunda mano/buen estado"", ""Trastero"", ""Construido en 1997"", ""No dispone de calefacción"", ""Planta 8ª exterior"", ""con ascensor"", ""Piscina""]";0.0;0.0;0.0;0.0;1.0;1.0;1.0;8.0;exterior;0;2021-12-30;2022-02-09;41 days;1
1562;1.0;96.0;0.0;1.0;0.0;0.0;0.0;2.0;1.0;0.0;1;1;1;"[""Avenida de l'institut obrer valencià, 11"", ""Barrio Ciutat de les Arts i de les Ciencies"", ""Distrito Quatre Carreres"", ""València"", ""Valencia, València""]";2021-12-30 18:22:29.691763;2021-12-30 18:22:29.691849;39.455325;-0.35909800000000003;230000;https://www.idealista.com/inmueble/32037872/;230000;2021-12-30 17:55:47.753092;quatre carreres;ciutat de les arts i de les ciencies;"[""96 m² construidos, 80 m² útiles"", ""2 habitaciones"", ""1 baño"", ""Balcón"", ""Segunda mano/buen estado"", ""Armarios empotrados"", ""Orientación norte"", ""Planta 5ª exterior"", ""con ascensor"", ""Aire acondicionado""]";1.0;0.0;1.0;1.0;0.0;0.0;0.0;5.0;exterior;0;2021-12-30;2021-12-30;0 days;1
1584;2.0;185.0;0.0;1.0;0.0;0.0;0.0;3.0;1.0;0.0;1;2;1;"[""Barrio Sant Francesc"", ""Distrito Ciutat Vella"", ""València"", ""Valencia, València""]";2021-12-30 15:35:31.409791;2021-12-30 15:35:31.409791;39.4673088;-0.37295500000000004;490000;https://www.idealista.com/inmueble/32180231/;490000;2022-01-11 22:56:11.384257;ciutat vella;sant francesc;"[""185 m² construidos, 160 m² útiles"", ""3 habitaciones"", ""2 baños"", ""Balcón"", ""Segunda mano/buen estado"", ""Armarios empotrados"", ""Orientación sur"", ""Construido en 1954"", ""No dispone de calefacción"", ""Planta 2ª"", ""con ascensor""]";1.0;0.0;0.0;1.0;0.0;0.0;1.0;2.0;;0;2021-12-30;2022-01-11;12 days;1
1585;2.0;212.0;0.0;1.0;0.0;0.0;0.0;4.0;1.0;0.0;1;2;1;"[""Barrio Sant Francesc"", ""Distrito Ciutat Vella"", ""València"", ""Valencia, València""]";2021-12-30 15:34:49.821579;2021-12-30 15:34:49.821579;39.4695088;-0.374655;550000;https://www.idealista.com/inmueble/32180248/;550000;2022-01-11 22:56:10.720165;ciutat vella;sant francesc;"[""212 m² construidos, 184 m² útiles"", ""4 habitaciones"", ""2 baños"", ""Balcón"", ""Segunda mano/buen estado"", ""Armarios empotrados"", ""Construido en 1954"", ""No dispone de calefacción"", ""Planta 2ª"", ""con ascensor""]";1.0;0.0;0.0;1.0;0.0;0.0;1.0;2.0;;0;2021-12-30;2022-01-11;12 days;1
1741;1.0;80.0;1.0;1.0;1.0;1.0;1.0;2.0;1.0;0.0;1;1;1;"[""Calle de la marina alta, 6"", ""Urb. Gran ademuz"", ""Barrio Sant Pau"", ""Distrito Campanar"", ""València"", ""Valencia, València""]";2022-01-11 20:45:53.898724;2022-01-11 20:45:53.898724;39.4878196;-0.4068815;320000;https://www.idealista.com/inmueble/33601044/;320000;2022-01-27 06:18:33.277170;campanar;sant pau;"[""80 m² construidos"", ""2 habitaciones"", ""1 baño"", ""Terraza"", ""Plaza de garaje incluida en el precio"", ""Segunda mano/buen estado"", ""Armarios empotrados"", ""Bajo exterior"", ""con ascensor"", ""Aire acondicionado"", ""Piscina"", ""Zonas verdes""]";1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;exterior;0;2022-01-11;2022-01-27;16 days;1
1815;3.0;235.0;1.0;0.0;0.0;0.0;0.0;4.0;0.0;1.0;1;2;2;"[""Barrio Playa de la Malvarrosa"", ""Distrito Poblats Marítims"", ""València"", ""Valencia, València""]";2021-12-18 20:39:08.883369;2021-12-18 20:39:08.883369;39.481725899999994;-0.32624699999999995;1590000;https://www.idealista.com/inmueble/33786870/;1590000;2022-02-19 17:03:52.144434;poblats marítims;playa de la malvarrosa;"[""Casa o chalet"", ""235 m² construidos"", ""4 habitaciones"", ""3 baños"", ""Parcela de 974 m²"", ""Segunda mano/para reformar"", ""Construido en 1925"", ""Jardín""]";0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;0;2021-12-18;2022-02-19;63 days;1
